日期,證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"1150226","2845","遠東銀","16536095","213063679","12.75","12.95","12.75","12.95","0.2000","2734"
"1150226","2849","安泰銀","215568","3021676","14.00","14.10","13.90","14.00","0.0000","162"
"1150226","2850","新產","356135","41438259","116.00","117.00","115.50","115.50","-0.5000","435"
"1150226","2851","中再保","721235","19973987","27.55","27.75","27.55","27.65","0.0500","524"
"1150226","2852","第一保","552820","15203602","27.50","27.60","27.35","27.40","-0.0500","302"
"1150226","2855","統一證","11170059","357862215","31.80","32.25","31.65","32.25","0.7500","4240"
"1150226","2867","三商壽","32736592","271477788","8.20","8.35","8.20","8.26","0.0500","5771"
"1150226","2880","華南金","39172624","1481326999","37.00","38.10","36.80","38.10","0.9000","11835"
"1150226","2881","富邦金","34978747","3297563471","92.90","95.10","92.90","94.20","1.3000","11841"
"1150226","2881A","富邦特","141270","8958831","63.50","63.50","63.40","63.40","-0.1000","38"
"1150226","2881B","富邦金乙特","92897","5717363","61.50","61.60","61.50","61.60","0.0000","47"
"1150226","2881C","富邦金丙特","114127","5948344","52.10","52.20","52.00","52.20","0.1000","90"
"1150226","2882","國泰金","67348907","5355644906","77.00","80.20","77.00","79.70","2.8000","14867"
"1150226","2882A","國泰特","113594","6903207","60.70","60.90","60.70","60.90","0.1000","33"
"1150226","2882B","國泰金乙特","64779","3890155","60.00","60.20","60.00","60.20","0.2000","30"
"1150226","2883","凱基金","161927683","3532875285","20.80","22.05","20.80","21.95","1.0500","31425"
"1150226","2883B","凱基金乙特","2638508","21223447","8.03","8.06","8.03","8.06","0.0300","713"
"1150226","2884","玉山金","101501150","3569245574","34.80","35.50","34.75","35.10","0.1500","20134"
"1150226","2885","元大金","56965743","2784196716","47.20","49.70","47.20","49.15","1.9000","15305"
"1150226","2886","兆豐金","30792529","1248873521","40.50","40.85","40.35","40.55","0.0000","10752"
"1150226","2887","台新新光金","183395654","4683544815","24.90","26.00","24.85","25.60","0.7000","23239"
"1150226","2887E","台新新光戊特一","183813","9232845","50.20","50.30","50.10","50.20","0.0000","61"
"1150226","2887F","台新新光戊特二","53686","2560658","47.70","47.80","47.65","47.75","0.0000","50"
"1150226","2887G","台新新光庚特一","249012","10216732","41.00","41.10","41.00","41.00","0.0000","74"
"1150226","2887H","台新新光庚特二","435165","17452050","40.10","40.50","40.05","40.05","0.0000","162"
"1150226","2887I","台新新光辛特","11174533","103793996","9.28","9.30","9.27","9.30","0.0200","1739"
"1150226","2887Z1","台新新光己特","159519","2819197","17.50","17.80","17.50","17.80","0.3500","124"
"1150226","2889","國票金","6355911","106912073","16.60","17.10","16.55","16.95","0.3500","2292"
"1150226","2890","永豐金","55299356","1832111993","32.55","33.45","32.45","33.20","0.4500","10287"
"1150226","2891","中信金","105177672","5848562579","53.90","56.40","53.90","55.90","2.4000","22997"
"1150226","2891B","中信金乙特","3602","228974","63.60","63.60","63.60","63.60","-0.1000","16"
"1150226","2891C","中信金丙特","5503","330381","60.00","60.10","60.00","60.00","0.0000","27"
"1150226","2892","第一金","69539880","2077842479","29.85","30.00","29.70","29.90","0.0000","8897"
"1150226","2897","王道銀行","6931652","68009618","9.73","9.86","9.70","9.80","0.0800","1633"
"1150226","2897B","王道銀乙特","44132","520757","11.80","11.80","11.80","11.80","0.0500","12"
"1150226","2901","欣欣","62272","1501684","24.35","24.40","23.95","23.95","-0.4000","181"
"1150226","2903","遠百","3252790","74403571","22.95","23.05","22.75","22.80","-0.1500","1694"
"1150226","2904","匯僑","116639","2008045","17.10","17.50","17.10","17.25","0.1000","83"
"1150226","2905","三商","1702638","27947489","16.10","16.60","16.10","16.50","0.4000","818"
"1150226","2906","高林","167205","2112585","12.60","12.70","12.55","12.70","0.1000","171"
"1150226","2908","特力","85152","1758925","20.65","20.75","20.55","20.70","0.0500","67"
"1150226","2910","統領","21400","492300","22.65","23.25","22.60","23.15","0.4000","21"
"1150226","2911","麗嬰房","53358","269057","5.10","5.10","5.00","5.10","-0.0300","120"
"1150226","2912","統一超","5362252","1193018124","223.00","224.00","220.50","223.00","0.5000","4231"
"1150226","2913","農林","1704593","22245611","13.20","13.20","12.95","13.05","-0.1000","928"
"1150226","2915","潤泰全","2345087","125289047","53.60","53.90","53.10","53.20","-0.1000","1186"
"1150226","2923","鼎固-KY","246864","6790548","27.50","28.00","26.40","28.00","1.5500","310"
"1150226","2929","淘帝-KY","403566","3032323","7.56","7.56","7.47","7.49","-0.1000","350"
"1150226","2939","永邑-KY","13098","314952","24.50","24.50","24.00","24.00","-0.3500","24"
"1150226","2945","三商家購","22201","952219","42.90","43.00","42.70","42.70","-0.2000","63"
