"排名","代號","名稱","成交","漲跌價","漲跌幅","更新日期","當日成交量週轉率(%)","2日累計成交量週轉率","3日累計成交量週轉率","5日累計成交量週轉率","10日累計成交量週轉率","1個月累計成交量週轉率","3個月累計成交量週轉率","半年累計成交量週轉率","今年累計成交量週轉率","1年累計成交量週轉率","2年累計成交量週轉率","3年累計成交量週轉率"
"290",="00678","群益那斯達克生技","35","+0.04","+0.11","12/05","1.28","5.03","9.61","23.3","44.3","98.9","268","539","1088","1197","2329","3277"
"291",="6191","精成科","121.5","+1","+0.83","12/05","1.28","3.55","5.53","15.2","54.7","114","270","716","1051","1070","1246","1476"
"292",="2413","環科","27.1","+0.05","+0.18","12/05","1.27","3.15","6.19","12.8","56.3","87.3","113","131","152","167","356","865"
"293",="7712","博盛半導體","87.8","-1.1","-1.24","12/05","1.26","4.24","7","11.8","27.3","34.9","41.9","52.3","86.3","","",""
"294",="00752","中信中國50","26.63","+0.17","+0.64","12/05","1.26","2.17","3.03","4.4","7.62","16.5","95.7","189","372","386","799","1027"
"295",="00901","永豐智能車供應鏈","24.32","+0.2","+0.83","12/05","1.26","1.99","3.71","6.27","23.3","63.6","80","99.6","131","142","441","679"
"296",="4956","光鋐","20.35","-0.5","-2.4","12/05","1.25","4.82","9.05","10.8","18","22.5","45.9","95.4","227","316","1998","2087"
"297",="3294","英濟","41.05","+0.6","+1.48","12/05","1.25","1.71","2.11","2.96","6.84","24.9","149","978","1547","1567","2094","2172"
"298",="00904","新光臺灣半導體30","21.81","+0.22","+1.02","12/05","1.25","1.96","3.5","5.67","16.9","44.1","177","225","284","297","745","916"
"299",="2449","京元電子","221.5","+1","+0.45","12/05","1.24","3.09","5.35","12","33.3","61.3","161","316","423","451","886","1158"
"300",="6139","亞翔","466","+8.5","+1.86","12/05","1.24","2.48","5.16","7.87","15.1","46.3","150","381","560","585","1295","1927"
